4.560000 0.303650  -0.279641 3.036021e-09
4.570000 0.300701  -0.309858 3.036250e-09
4.580000 0.297453  -0.339766 3.036706e-09
4.590000 0.293906  -0.369334 3.037469e-09
4.600000 0.290066  -0.398533 3.038614e-09
4.610000 0.285935  -0.427333 3.040221e-09
4.620000 0.281519  -0.455706 3.042364e-09
4.630000 0.276821  -0.483623 3.045119e-09
4.640000 0.271847  -0.511056 3.048559e-09
4.650000 0.266600  -0.537978 3.052756e-09
4.660000 0.261087  -0.564363 3.057778e-09
4.670000 0.255313  -0.590183 3.063693e-09
4.680000 0.249284  -0.615413 3.070563e-09
4.690000 0.243005  -0.640027 3.078450e-09
4.700000 0.236483  -0.664001 3.087411e-09
4.710000 0.229725  -0.687312 3.097500e-09
4.720000 0.222737  -0.709935 3.108765e-09
4.730000 0.215526  -0.731848 3.121253e-09
4.740000 0.208100  -0.753029 3.135004e-09
4.750000 0.200465  -0.773457 3.150056e-09
4.760000 0.192631  -0.793112 3.166440e-09
4.770000 0.184603  -0.811974 3.184182e-09
4.780000 0.176391  -0.830024 3.203305e-09
4.790000 0.168003  -0.847243 3.223824e-09
4.800000 0.159446  -0.863616 3.245752e-09
4.810000 0.150730  -0.879125 3.269093e-09
4.820000 0.141864  -0.893754 3.293848e-09
4.830000 0.132855  -0.907490 3.320012e-09
4.840000 0.123714  -0.920319 3.347574e-09
4.850000 0.114449  -0.932227 3.376518e-09
4.860000 0.105069  -0.943203 3.406821e-09
4.870000 0.095585  -0.953236 3.438457e-09
4.880000 0.086005  -0.962315 3.471392e-09
4.890000 0.076339  -0.970432 3.505589e-09
4.900000 0.066596  -0.977579 3.541004e-09
4.910000 0.056787  -0.983748 3.577589e-09
4.920000 0.046921  -0.988934 3.615291e-09
4.930000 0.037008  -0.993130 3.654052e-09
4.940000 0.027059  -0.996333 3.693811e-09
4.950000 0.017082  -0.998540 3.734499e-09
4.960000 0.007088  -0.999749 3.776047e-09
4.970000 -0.002913  -0.999958 3.818380e-09
4.980000 -0.012911  -0.999166 3.861421e-09
4.990000 -0.022897  -0.997376 3.905088e-09
5.000000 -0.032859  -0.994588 3.949298e-09
5.010000 -0.042788  -0.990806 3.993964e-09
